new-name,old-name,type
Rondizzoni,Rondizonni,automatic
Las Rejas,Las Rejas,automatic
Plaza de Puente Alto,Plaza de Puente Alto,automatic
Los Leones,Los Leones,automatic
Parque Almagro,Parque Almagro,automatic
Santa Ana,Santa Ana L2,automatic
San Alberto Hurtado,San Alberto Hurtado,automatic
Francisco Bilbao,Bilbao,manual
Patronato,Patronato,automatic
San José de la Estrella,San José de la Estrella - L4,automatic
Los Leones,Los Leones L6,automatic
Inés de Suárez,Inés de Suárez,automatic
Blanqueado,Blanqueado - L5,automatic
Bellavista de la Florida,La Florida,manual
Universidad de Chile,Universidad de Chile,automatic
Plaza Egaña,Plaza Egaña,automatic
Plaza de Armas,Plaza de Armas,automatic
Santa Julia,Santa Julia,automatic
Plaza de Maipú,Plaza Maipú - L5,automatic
Carlos Valdovinos,Carlos Valdovino,automatic
Manuel Montt,Manuel Montt,automatic
Neptuno,Neptuno,automatic
Simón Bolívar,Simon Bolivar,automatic
Zapadores,Zapadores,automatic
Universidad de Santiago,Universidad de Santiago,automatic
Franklin,Franklin L6,automatic
Estadio Nacional,Estadio Nacional,automatic
Los Héroes,Los Heroes,automatic
Manquehue,Manquehue - L1,automatic
Chile España,Chile-España,automatic
Protectora de la Infancia,Protectora de la Infancia,automatic
Pudahuel,Pudahuel - L5,automatic
Ñuñoa,Ñuñoa L6,automatic
La Cisterna,La Cisterna L2,automatic
El Llano,El LLano,automatic
Las Mercedes,Las Mercedes,automatic
Los Presidentes,Los Presidentes,automatic
Gruta de Lourdes,Gruta de Lourdes - L5,automatic
Vicente Valdés,Vicente Valdes,automatic
Vivaceta,Vivaceta,automatic
Hernando de Magallanes,Hernando de Magallanes - L1,automatic
Santa Isabel,Santa Isabel,automatic
Rodrigo de Araya,Rodrigo de Araya,automatic
Tobalaba,TOBALABA_L1,manual
Lo Ovalle,Lo Ovalle,automatic
Cristóbal Colón,Colon,manual
Parque Bustamante,Parque Bustamante,automatic
Mirador,Mirador Azul,automatic
Unión Latinoamericana,Latino Americana,automatic
Toesca,Toesca,automatic
El Parrón,El Parrón,automatic
Elisa Correa,Elisa Correa,automatic
Ecuador,Ecuador,automatic
Alcántara,Alcantara,automatic
Ñuble,Ñuble L6,automatic
La Granja,La Granja,automatic
Universidad Católica,Universidad Catolica,automatic
Trinidad,Trinidad,automatic
Ciudad del Niño,Ciudad del Niño,automatic
Presidente Pedro Aguirre Cerda,Presidente Pedro Aguirre Cerda,automatic
Estación Central,Estacion Central,automatic
República,Republica,automatic
Vespucio Norte,Vespucio Norte,automatic
Santa Lucía,Santa Lucia,automatic
Los Héroes,Los Heroes L2,automatic
Departamental,Departamental,automatic
Del Sol,Del Sol - L5,automatic
La Cisterna,La Cisterna L4A,automatic
Macul,Macul,automatic
Pedro de Valdivia,Pedro de Valdivia,automatic
Lo Vial,Lo Vial,automatic
Pedrero,Pedreros,automatic
El Golf,El Golf,automatic
Pajaritos,Pajaritos,automatic
La Moneda,La Moneda,automatic
Camino Agrícola,Agricola,automatic
Quilín,Rotonda Quilín,automatic
Dorsal,Dorsal,automatic
Cerro Blanco,Cerro Blanco,automatic
Monte Tabor,Monte Tabor - L5,automatic
San Joaquín,San Joaquin,automatic
Santa Rosa,Santa Rosa,automatic
Grecia,Rotonda Grecia,automatic
Los Dominicos,Los Dominicos - L1,automatic
Los Orientales,Los Orientales,automatic
Bío Bío,Bío Bío,automatic
Parque O'Higgins,Parque OHiggins,automatic
San Pablo,San Pablo,automatic
Príncipe de Gales,Principe de Gales,automatic
Baquedano,Baquedano L1,automatic
Baquedano,Baquedano L5,automatic
Hospital Sótero del Río,Hospital Sotero del Rio,automatic
Tobalaba,TOBALABA_L4,manual
Salvador,Salvador,automatic
Escuela Militar,Escuela Militar,automatic
Santa Ana,Santa Ana L5,automatic
Rojas Magallanes,Rojas Magallanes,automatic
Hospitales,Hospitales,automatic
Puente Cal y Canto,Puente Cal y Canto L3,automatic
Los Libertadores,Los Libertadores,automatic
Quinta Normal,Quinta Normal,automatic
San Miguel,San Miguel,automatic
Irarrázaval,Irarrazaval,automatic
Los Quillayes,Los Quillayes,automatic
Irarrázaval,Irarrazabal L3,automatic
Lo Prado,Lo Prado - L5,automatic
Laguna Sur,Laguna Sur - L5,automatic
Santiago Bueras,Santiago Bueras - L5,automatic
San Pablo,San Pablo - L5,automatic
Puente Cal y Canto,Cal y Canto,automatic
Universidad de Chile,Universidad de Chile L3,automatic
Lo Valledor,Lo Valledor,automatic
Cumming,Ricardo Cumming,automatic
Las Torres,Las Torres,automatic
Cerrillos,Cerrillos,automatic
Bellas Artes,Bellas Artes,automatic
Matta,Matta,automatic
San Ramón,San Ramón,automatic
Cementerios,Cementerios,automatic
Plaza Chacabuco,Plaza Chacabuco,automatic
Einstein,Einstein,automatic
Barrancas,Barrancas - L5,automatic
Las Parcelas,Las Parcelas - L5,automatic
Plaza de Armas,Plaza de Armas L3,automatic
Villa Frei,Villa Frei,automatic
Vicuña Mackenna,Vicuña Mackena,automatic
Cardenal Caro,Cardenal Caro,automatic
Fernando Castillo Velasco,Fernando Castillo Velazco,automatic
Monseñor Eyzaguirre,Monseñor Eyzaguirre,automatic
Plaza Egaña,Plaza Egaña L3,automatic
Conchalí,Conchalí,automatic
